id_buah,nama_buah,nama_latin,desc_buah,vitamin_c,vitamin_a,zat_besi,protein_lemak,ketahanan_tubuh,penglihatan,anemia,gizi_buruk,kandungan_protein,kandungan_lemak,kandungan_karbohidrat,kandungan_energi,kandungan_zat_besi,kandungan_vitamin_a,kandungan_vitamin_c,kandungan_folat,kandungan_kalsium,kandungan_seng,Berat Buah PerGizi,nilai_gizi (Kalori),image,funfact,icon 
fruits-1,Alpukat,Persea americana,"Alpukat merupakan sumber karotenoid, phytonutrient, dan asam amino esensial yang diperlukan bagi tubuh untuk membentuk protein lengkap, dapat meningkatkan kadar HDL (kolesterol “baik”) yang juga dapat membantu melindungi tubuh dari kerusakan yang disebabkan oleh radikal bebas, mengatur kadar trigliserida, dan mencegah diabetes. Kaya akan minyak yang dapat meredakan jantung berdebar keras. Alpukat kaya folat yang berguna untuk mencegah kecacatan otak dan penting selama masa kehamilan.",Kurang,Medium,Kurang,Sedang,Kurang,Medium,Kurang,Sedang,"0,9 g","6,5 g","7,7 g",85 kcal,"0,9 mg","23,2 mcg",13 mg,62 mcg,10 mg,"0,4 mg",100 gram,160 Kal,https://drive.google.com/uc?export=view&id=1ID5bxOVcF-JXhp2xlJF5FDLttvEIXzVB,Mengontrol tekanan darah dan gula darah;Menjaga kesehatan jantung;Menjaga sistem pencernaan;Menjaga berat badan ideal; ,https://drive.google.com/uc?export=view&id=1wfKupBGH47wkBoJPtL_4QWPVqm7rt6Er
fruits-2,Pisang,Musa x paradisiaca,"Pisang dapat dengan cepat diubah menjadi energi. Pisang kaya dengan serat yang dapat mencegah penyakit jantung koroner. Kandungan potasium pada pisang dapat mencegah serangan stroke dan juga membantu menyeimbangkan kadar gula dan kolestrol. Pisang juga memiliki efek anti asam yang menenangkan perut dan meredakan rasa perih di perut. Jenis pisang yang memiliki warna kuning, merah dan orange sangat kaya akan vitamin A.",Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,"1,3 g","0,3 g","27,3 g",112 kcal,"0,6 mg","9,2 mcg",13 mg,21 mcg,17 mg,"0,4 mg",100 gram,89 Kal,https://drive.google.com/uc?export=view&id=1BiWPsBhXqO1Hq2q4X-Qn61a3E3paSOUQ,Meningkatkan kesehatan jantung;Meningkatkan kesehatan pencernaan;Mengontrol berat badan;Meningkatkan kesehatan ginjal;Membantu proses penyembuhan luka,https://drive.google.com/uc?export=view&id=1DPq9xsSc9Nj5o2GVpXgr_jpUUm5b-YR2
fruits-3,Naga,Hylocereus undatus/ polyrhizus,"Buah naga sangat bermanfaat bagikesehatan karena kaya dengan zat gizi dan senyawa antioksidan. Terkait dengan kesehatan, buah naga bermanfaat untuk: menjaga kesehatan pencernaan, mengurangi risiko kanker, menurunkan kadar kolesterol jahat dan meningkatkan kesehatan jantung, mengontrol gula darah dan mengurangi risiko diabetes, meningkatkan sistem kekebalan tubuh, meredakan batuk dan flu, mencegah migrain, menurunkan berat badan, membantu mengatasi demam berdarah, menjaga kesehatan tulang, melawan radang sendi (arthritis), mencegah anemia, meningkatkan kesehatan mata, menjaga kesehatan kulit, meredakan nyeri pada kulit yang terbakar sinar matahari, mengurangi jerawat, melindungi rambut dari kerusakan, membantu meningkatkan fungsi otak, dan menjaga kesehatan ibu hamil.",Tinggi,Kurang,Kurang,sangat kurang,Medium,Kurang,Medium,Kurang,2 g,0 g,12 g,60 kcal,"1,8 mg",0 mcg,11 mg,20 mcg,15 mg,"0,5 mg",100 gram,60 Kal,https://drive.google.com/uc?export=view&id=1ovIIVZmsp9FuStpu1Ka0d-GyQ89FisBl,Meningkatkan kesehatan usus;Alternatif untuk mengatasi sembelit;Menurunkan risiko depresi;Mencegah anemia defisiensi besi;Mencegah penyakit kanker,https://drive.google.com/uc?export=view&id=12fvrVuw_OZPIvv2ZoQ4lFO9zD_Ow2o3X
fruits-4,Durian,Durio zibethinus,"Buah durian banyak mengandung karbohidrat, lemak, protein dan mineral. Durian dapat diolah menjadi tempoyak, dodol dan campuran bahan kuekue tradisional, seperti gelamai atau jenang. Durian mengandung vitamin C yang tinggi dan meningkatkan kekebalan tubuh kita. Durian juga memiliki senyawa yang bermanfaat untuk mencegah stres dan senyawa yang mampu mematikan zat penyebab kanker, meningkatkan kekebalan tubuh, mencegah kanker, dan penyakit jantung. Durian tidak boleh dikonsumsi dalam jumlah banyak oleh orang yang menderita tekanan darah tinggi, sakit maag dan ibu hamil.",Sangat tinggi,Kurang,Kurang,Medium,Sangat tinggi,Kurang,Kurang,Medium,"2,5 g",3 g,28 g,134 kcal,"1,3 mg","19,5 mcg",53 mg,22 mcg,7 mg,"0,3 mg",100 gram,147 Kal,https://drive.google.com/uc?export=view&id=1qkbF6aW3R5R08SbHF6PvJwsbtJCSbuCu,Mencegah perubahan sel abnormal kanker;Meningkatkan kesehatan pencernaan;Mencegah munculnya nyeri;Mencegah penuaan dini;Menjaga kesehatan tulang,https://drive.google.com/uc?export=view&id=1d0rqmMCb7rR9rfBkricfwp5qVAymZ79v
fruits-5,Anggur,Vitis.,"Buah anggur Vitis vinifera merupakan sumber vitamin, mineral, dan antioksidan yang baik. Buah anggur mengandung berbagai antioksidan kuat, seperti flavonoid, resveratrol, dan antosianin dimana antioksidan ini membantu melindungi tubuh dari kerusakan akibat radikal bebas dan membantu meningkatkan kesehatan jantung. Buah anggur juga dapat meningkatkan fungsi otak dengan senyawa resveratrol dalam buah anggur yang memiliki sifat anti-kanker yang membantu mencegah pertumbuhan sel kanker dan tumor.",Tinggi,Medium,Medium,Kurang,Medium,Medium,Kurang,Kurang,"0,4 g","0,1 g",24 g,64 kcal,"0,3 mg",10 mg,7 mg ,20 mcg,15 mg ,"0,2 mg",100 gram,67 Kal,https://drive.google.com/uc?export=view&id=1sO-xAg71-PZo_fGh6aRuVgKq0wvnn8Az,Mengatasi gangguan pembuluh darah dan jantung;Mencegah penyakit kanker;Menurunkan tekanan darah tinggi;Mengurangi risiko diabetes;Memperlambat penuaan,https://drive.google.com/uc?export=view&id=1zEP8DfSv2_Cwr3wUhqbOQV_4UUZfFY4a
fruits-6,Jambu,Psidium guajava,"Buah dapat dimakan mentah atau diolah menjadi bubur, jus, kue, permen, saus dan produk lainnya. Buah mengandung banyak vitamin C dan serat. Dapat mencegah kanker dan membantu proses pemulihan saat sakit, selain itu juga rendah kolestrol dan menghilangkan racun dari tubuh. Sebaiknya memakan buah ini beserta kulitnya karena pada daging dekat kulit mengandung banyak vitamin C. Buah dan daun juga dapat digunakan untuk obat-obatan.",Tinggi,Kurang,Kurang,Kurang,Tinggi,Kurang,Kurang,Kurang,"0,9 g","0,3 g","12,2 g",49 kcal,"1,1 mg","3,3 mcg",87 mg,14 mcg,14 mg,"0,3 mg",100 gram,68 Kal,https://drive.google.com/uc?export=view&id=1lDRsrlt41aCGN8LqgsMr3qv1Kzmedx4L,Melancarkan saluran pencernaan;Memperkuat daya tahan tubuh;Menurunkan kolestrol;Mencegah diabetes;Menjaga kesehatan kulit,https://drive.google.com/uc?export=view&id=1hr5C4DiI58eRk4Fh7dMsc1lpfNvkRZKy
fruits-7,Nangka,Artocarpus heterophyllus,Buah nangka mengandung gizi yang cukup tinggi dan konon berkhasiat sebagai obat anti kanker dan mencegah sembelit. Kandungan seng yang tinggi pada buah ini dapat membantu meningkatkan sistem kekebalan dengan produksi imun dalam tubuh. Akan tetapi bila mengkonsumsi buah nangka secara berlebihan maka akan menyebabkan perut kembung dan kambuhnya penyakit maag bagi penderita penyakit maag kronis. Nangka mengandung vitamin A dalam jumlah sedang. Nangka kaya kalium. Kalium berfungsi mengontrol detak jantung dan tekanan darah,Kurang,Medium,Kurang,Kurang,Kurang,Medium,Kurang,Kurang,"1,3 g","0,3 g","27,6 g","1,6 kcal","0,9 mg",26 mcg,7 mg,26 mcg,20 mg,"1,4 mg",100 gram,98 Kal,https://drive.google.com/uc?export=view&id=1bU0W41gBXwQt0EJ4gRr8nfktKyG71g_i,Mengurangi risiko penyakit kardiovaskular dan jantung;Melawan kanker;Menjaga sistem pencernaan;Mengontrol gula darah;Menjaga kesehatan tulang,https://drive.google.com/uc?export=view&id=16UF48eIzEZxpwuEJUxmFIC-BfBNVPpgf
fruits-8,Langsat,Lansium parasiticum,Duku terutama dimakan dalam keadaan segar atau diawetkan dalam sirup. Buah duku mengandung manfaat vitamin C yang berperan sebagai antioksidan. Selain itu buah duku juga dapat mencegah penuaan dini dan mengendalikan kadar kolesterol.,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,1 g,"0,2 g","16,1 g",63 kcal,"0,9 mg",0 mcg,9 mg,3 mcg,18 mg,"0,2 mg",100 gram,57 Kal,https://drive.google.com/uc?export=view&id=1sGGL1u3nLdhXLLEBfRT2vauOAxGYx2w_,Mengatasi sembelit;Menjaga fungsi saraf;Menurunkan risiko penyakit kardiovaskular;Menjaga kesehatan gigi;Meningkatkan daya tahan tubuh,https://drive.google.com/uc?export=view&id=15T8d_2GqpvDP4cs8QC-OyCPmoieL4hFL
fruits-9,Mangga,Mangifera indica,"Mangga bisa dijadikan sarapan dan juga makanan ringan. Mangga adalah buah yang sangat bergizi! Mangga banyak mengandung vitamin A, dengan mengkomsumsi buah mangga sangat bagus untuk penglihatan atau untuk kesehatan mata, Selain itu buah Mangga juga tinggi akan vitamin C, sehingga mengkonsumsi mangga baik untuk ketahanan tubuh. Buah mangga kaya akan serat, antioksidan, vitamin (vitamin A, C dan E). Selain itu juga sebagai anti kanker, melindungi jantung, hati, pencernaan dan otak kita. Vitamin B juga bagus untuk menghilangkan stress.",Medium,Medium,Kurang,Kurang,Medium,Medium,Kurang,Kurang,"0,7 g",0 g,"12,3 g",20 kcal,1 mg,26 mcg,12 mg,14 mcg,20 mg,0 mg,100 gram,60 Kal,https://drive.google.com/uc?export=view&id=1IqTqWmtyQAUhqPKU73m1Z7ypDYgar32Z,Menjaga kesehatan pencernaan;Meningkatkan imun tubuh;Menurunkan risiko kanker;Mengurangi risiko diabetes;Menjaga kesehatan jantung,https://drive.google.com/uc?export=view&id=1G5pYVDZJxTptS7trrNpk_VjgC6NpB1a0
fruits-10,Manggis,Garcinia mangostana,"Manggis adalah ratunya buah. Meskipun kulitnya berwarna hitam, tetapi dagingnya berwarna putih dan memiliki manfaat yang besar karena kandungan antioksidan, antibiotik dan antivirus yang tinggi. Buah manggis juga bermanfaat untuk melancarkan pencernaan di dalam tubuh karena kaya serat alami, menurunkan kadar kolesterol, mengatasi penyakit batu ginjal dan menambah energi. Manggis selain rasanya sangat enak, namun juga sehat karena dapat mencegah kanker, peradangan, maag, dan obesitas",Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,Kurang,"0,6 g","0,6 g","15,6 g",63 kcal,"0,8 mg",0 mcg,5 mg,3 mcg,8 mg,"0,1 mg",100 gram,63 Kal,https://drive.google.com/uc?export=view&id=113BidHoBnW6o_cbv_Kj1UiVunOigFslH,Mengurangi risiko kanker;Menjaga kesehatan mata;Kaya akan sumber antioksidan untuk sistem imun;Kaya akan asam folat yang baik untuk Ibu hamil;Menjaga kesehatan otak,https://drive.google.com/uc?export=view&id=1V3p-hhs1j_tD0w6w34Gumrsl7p1GFRt1
